name,position,team,GW,total_points,goals_scored,assists,goals_conceded,saves,ict_index,minutes,transfers_in,value,was_home,fix_difficulty,selected
Aaron Cresswell,DEF,West Ham,10,2,0,0,1,0,3.1,84,931,42,1,3.0,32724
Aaron Cresswell,DEF,West Ham,16,-1,0,0,3,0,0.7,45,859,42,0,2.0,35153
Aaron Cresswell,DEF,West Ham,28,1,0,0,2,0,5.8,90,394,42,1,3.0,31564
Aaron Cresswell,DEF,West Ham,32,1,0,0,0,0,0.8,36,282,42,0,2.0,32818
Aaron Cresswell,DEF,West Ham,34,1,0,0,1,0,0.5,45,505,42,0,2.0,32725
Aaron Cresswell,DEF,West Ham,38,1,0,0,3,0,2.3,90,370,42,0,2.0,32337
Aaron Hickey,DEF,Brentford,1,0,0,0,2,0,2.6,71,0,45,1,2.0,26398
Aaron Hickey,DEF,Brentford,2,5,0,0,0,0,0.2,77,1516,45,0,2.0,28443
Aaron Hickey,DEF,Brentford,3,2,0,0,1,0,1.8,90,2541,45,1,2.0,30986
Aaron Hickey,DEF,Brentford,4,1,0,0,2,0,1.8,81,2106,45,1,2.0,32460
Aaron Hickey,DEF,Brentford,5,1,0,0,1,0,3.2,81,1167,45,0,2.0,31643
Aaron Hickey,DEF,Brentford,6,1,0,0,3,0,0.6,72,9968,45,1,2.0,40715
Aaron Hickey,DEF,Brentford,7,1,0,0,1,0,0.7,68,2017,45,0,2.0,37736
Aaron Hickey,DEF,Brentford,8,0,0,0,2,0,0.0,90,1064,45,0,2.0,35402
Aaron Hickey,DEF,Brentford,10,6,0,0,0,0,2.0,83,569,45,0,2.0,27521
Aaron Ramsdale,GK,Arsenal,1,2,0,0,1,1,1.3,90,0,50,1,5.0,1510016
Aaron Ramsdale,GK,Arsenal,2,6,0,0,0,2,1.5,90,45504,50,0,5.0,1625661
Aaron Ramsdale,GK,Arsenal,3,1,0,0,2,1,1.2,90,53491,50,1,5.0,1657162
Aaron Ramsdale,GK,Arsenal,4,2,0,0,1,1,1.1,90,26035,50,1,5.0,1577658
Aaron Ramsdale,GK,Arsenal,13,6,0,0,0,1,0.5,90,23633,47,0,5.0,789227
Aaron Ramsdale,GK,Arsenal,28,3,0,0,1,3,1.7,90,11280,45,1,5.0,619287
Aaron Ramsey,MID,Burnley,6,2,0,0,1,0,4.6,72,516,50,1,2.0,1857
Aaron Ramsey,MID,Burnley,20,1,0,0,1,0,0.1,31,212,50,0,2.0,3885
Aaron Ramsey,MID,Burnley,22,1,0,0,0,0,0.5,31,235,50,0,2.0,4273
Aaron Ramsey,MID,Burnley,23,2,0,0,2,0,3.3,62,143,50,1,2.0,4359
Aaron Ramsey,MID,Burnley,24,2,0,0,3,0,1.6,80,200,50,0,2.0,4457
Aaron Ramsey,MID,Burnley,25,1,0,0,3,0,0.0,62,393,50,1,2.0,4794
Aaron Wan-Bissaka,DEF,Man Utd,1,12,0,1,0,0,8.2,90,0,45,1,4.0,122037
Aaron Wan-Bissaka,DEF,Man Utd,2,1,0,0,1,0,2.0,65,174411,45,0,3.0,382753
Aaron Wan-Bissaka,DEF,Man Utd,3,0,0,0,2,0,2.7,90,188893,46,1,4.0,584869
Aaron Wan-Bissaka,DEF,Man Utd,4,1,0,0,3,0,2.9,90,44922,46,0,3.0,552816
Aaron Wan-Bissaka,DEF,Man Utd,11,8,0,0,0,0,3.1,90,4499,44,0,3.0,200028
Aaron Wan-Bissaka,DEF,Man Utd,14,2,0,0,1,0,1.6,79,4470,44,0,3.0,254606
Aaron Wan-Bissaka,DEF,Man Utd,18,1,0,0,2,0,1.8,90,3116,44,0,3.0,224895
Aaron Wan-Bissaka,DEF,Man Utd,19,1,0,0,2,0,1.7,90,1207,44,1,4.0,221437
Aaron Wan-Bissaka,DEF,Man Utd,20,1,0,0,2,0,4.2,89,3066,44,0,3.0,220328
Aaron Wan-Bissaka,DEF,Man Utd,21,0,0,0,2,0,2.8,90,3447,44,1,4.0,214166
Aaron Wan-Bissaka,DEF,Man Utd,30,1,0,0,1,0,3.2,90,2301,44,0,3.0,177565
Aaron Wan-Bissaka,DEF,Man Utd,31,0,0,0,4,0,2.7,90,1357,44,0,3.0,178461
Aaron Wan-Bissaka,DEF,Man Utd,32,4,0,1,2,0,5.7,90,1107,44,1,4.0,178880
Aaron Wan-Bissaka,DEF,Man Utd,33,1,0,0,2,0,3.4,90,6697,44,0,3.0,185135
Aaron Wan-Bissaka,DEF,Man Utd,34,1,0,0,2,0,1.9,90,7377,44,1,4.0,191204
Aaron Wan-Bissaka,DEF,Man Utd,35,2,0,0,1,0,2.8,90,9455,44,1,4.0,196070
Aaron Wan-Bissaka,DEF,Man Utd,36,0,0,0,4,0,3.5,90,6304,44,0,3.0,199258
Aaron Wan-Bissaka,DEF,Man Utd,38,6,0,0,0,0,1.6,90,3556,44,0,3.0,215819
Abdoulaye Doucouré,MID,Everton,1,2,0,0,1,0,6.8,90,0,55,1,2.0,18521
Abdoulaye Doucouré,MID,Everton,2,2,0,0,4,0,2.4,90,1981,55,0,2.0,21324
Abdoulaye Doucouré,MID,Everton,3,2,0,0,1,0,8.0,90,1399,55,1,2.0,20102
Abdoulaye Doucouré,MID,Everton,4,8,1,0,2,0,15.5,90,3828,55,0,2.0,21814
Abdoulaye Doucouré,MID,Everton,5,2,0,0,1,0,3.5,79,2540,55,1,2.0,21531
Abdoulaye Doucouré,MID,Everton,6,7,1,0,1,0,8.0,90,4159,55,0,2.0,24242
Abdoulaye Doucouré,MID,Everton,7,4,0,1,2,0,9.4,59,71739,55,1,2.0,94777
Abdoulaye Doucouré,MID,Everton,8,8,1,0,0,0,14.8,90,24069,55,1,2.0,99354
Abdoulaye Doucouré,MID,Everton,9,2,0,0,2,0,2.0,90,13465,55,0,2.0,90741
Abdoulaye Doucouré,MID,Everton,10,3,0,0,0,0,3.8,90,3320,55,0,2.0,74587
Abdoulaye Doucouré,MID,Everton,11,1,0,0,1,0,2.6,90,11115,55,1,2.0,78344
Abdoulaye Doucouré,MID,Everton,12,11,1,1,2,0,5.9,90,2478,55,0,2.0,62832
Abdoulaye Doucouré,MID,Everton,13,1,0,0,3,0,5.3,89,22865,55,1,2.0,83493
Abdoulaye Doucouré,MID,Everton,14,3,0,0,0,0,2.8,90,17189,55,0,2.0,93186
Abdoulaye Doucouré,MID,Everton,15,9,1,0,0,0,9.7,90,5573,55,1,2.0,85295
Abdoulaye Doucouré,MID,Everton,16,10,1,0,0,0,6.9,90,20804,55,1,2.0,101460
Abdoulaye Doucouré,MID,Everton,17,1,0,0,0,0,0.9,45,165514,56,0,2.0,275686
Abdoulaye Doucouré,MID,Everton,21,3,0,0,0,0,2.9,90,1294,55,1,2.0,69576
Abdoulaye Doucouré,MID,Everton,25,2,0,0,1,0,4.2,71,181,55,1,2.0,47958
Abdoulaye Doucouré,MID,Everton,26,3,0,0,0,0,2.2,88,5232,55,0,2.0,52495
Abdoulaye Doucouré,MID,Everton,27,2,0,0,2,0,4.8,90,3425,55,1,2.0,52821
Abdoulaye Doucouré,MID,Everton,28,1,0,0,2,0,3.7,60,2390,55,0,2.0,52077
Abdoulaye Doucouré,MID,Everton,30,2,0,0,1,0,3.9,71,3448,55,0,2.0,51497
Abdoulaye Doucouré,MID,Everton,31,1,0,0,1,0,2.4,59,2031,55,0,2.0,51520
Abdoulaye Doucouré,MID,Everton,32,3,0,0,0,0,3.0,90,4677,55,1,2.0,53716
Abdoulaye Doucouré,MID,Everton,33,2,0,0,6,0,1.0,90,2237,55,0,2.0,51852
Abdoulaye Doucouré,MID,Everton,35,3,0,0,0,0,2.3,90,1348,55,1,2.0,56056
Abdoulaye Doucouré,MID,Everton,36,1,0,0,1,0,1.2,53,2744,55,0,2.0,56721
Abdoulaye Doucouré,MID,Everton,37,8,1,0,0,0,13.0,68,2599,55,1,2.0,55201
Abdoulaye Doucouré,MID,Everton,38,1,0,0,2,0,0.7,90,1346,55,0,2.0,53326
Adam Lallana,MID,Brighton,5,3,0,0,0,0,2.0,63,206,49,0,2.0,4892
Adam Lallana,MID,Brighton,10,1,0,0,0,0,4.2,58,118,49,1,3.0,4428
Adam Lallana,MID,Brighton,11,1,0,0,1,0,0.7,45,275,49,0,2.0,4573
Adam Lallana,MID,Brighton,12,1,0,0,0,0,2.7,45,164,49,1,3.0,4574
Adam Lallana,MID,Brighton,13,1,0,0,1,0,0.9,45,263,49,0,2.0,4733
Adam Lallana,MID,Brighton,14,4,0,1,2,0,3.7,56,212,49,0,2.0,4815
Adam Lallana,MID,Brighton,16,1,0,0,1,0,3.2,45,270,49,1,3.0,5171
Adam Lallana,MID,Brighton,17,1,0,0,1,0,0.2,59,117,49,0,2.0,5012
Adam Lallana,MID,Brighton,24,1,0,0,0,0,2.1,56,74,49,0,2.0,4876
Adam Lallana,MID,Brighton,27,1,0,0,2,0,4.2,58,103,49,0,2.0,4981
Adam Lallana,MID,Brighton,31,3,0,0,0,0,3.2,63,64,49,0,2.0,4978
Adam Lallana,MID,Brighton,34,1,0,0,3,0,0.3,45,75,49,1,3.0,5017
Adam Lallana,MID,Brighton,38,1,0,0,0,0,3.5,56,106,49,1,3.0,4912
Adam Smith,DEF,Bournemouth,8,1,0,0,3,0,4.1,85,162,44,0,2.0,1835
Adam Smith,DEF,Bournemouth,13,5,0,1,1,0,4.9,90,229,44,0,2.0,2257
Adam Smith,DEF,Bournemouth,14,1,0,0,2,0,1.6,90,555,44,1,2.0,2748
Adam Smith,DEF,Bournemouth,15,6,0,0,0,0,5.6,90,430,44,0,2.0,3014
Adam Smith,DEF,Bournemouth,16,6,0,0,0,0,1.6,90,505,44,0,2.0,3270
Adam Smith,DEF,Bournemouth,18,4,0,1,2,0,7.8,90,961,44,0,2.0,7338
Adam Smith,DEF,Bournemouth,19,6,0,0,0,0,1.1,90,3415,44,1,2.0,9781
Adam Smith,DEF,Bournemouth,20,1,0,0,3,0,2.4,81,3988,44,0,2.0,13070
Adam Smith,DEF,Bournemouth,22,2,0,0,1,0,1.6,90,381,44,0,2.0,13601
Adam Smith,DEF,Bournemouth,23,2,0,0,1,0,1.4,90,368,44,1,2.0,13262
Adam Smith,DEF,Bournemouth,24,0,0,0,3,0,0.2,84,1256,44,0,2.0,13690
Adam Smith,DEF,Bournemouth,25,1,0,0,2,0,0.4,90,482,44,0,2.0,12439
Adam Smith,DEF,Bournemouth,26,2,0,0,1,0,1.9,90,1175,44,1,2.0,12584
Adam Smith,DEF,Bournemouth,27,5,0,0,0,0,1.3,90,5084,44,0,2.0,17141
Adam Smith,DEF,Bournemouth,30,5,0,1,1,0,0.8,90,2813,44,1,2.0,63097
Adam Smith,DEF,Bournemouth,31,9,0,0,0,0,3.3,89,3940,44,1,2.0,63909
Adam Smith,DEF,Bournemouth,32,1,0,0,2,0,5.0,90,6985,44,0,2.0,67711
Adam Smith,DEF,Bournemouth,33,1,0,0,2,0,4.2,69,5599,44,1,2.0,68560
Adam Smith,DEF,Bournemouth,35,7,0,0,0,0,1.4,90,655,44,1,2.0,69440
Adam Smith,DEF,Bournemouth,36,0,0,0,2,0,0.9,88,946,44,0,2.0,64197
Adam Smith,DEF,Bournemouth,37,6,0,0,0,0,0.9,80,2203,44,1,2.0,55876
Adam Webster,DEF,Brighton,2,1,0,0,1,0,2.5,90,154,45,0,2.0,21587
Adam Webster,DEF,Brighton,3,1,0,0,3,0,2.3,90,5668,44,1,3.0,26060
Adam Webster,DEF,Brighton,6,2,0,0,1,0,2.8,90,681,44,1,3.0,23546
Adam Webster,DEF,Brighton,7,-1,0,0,6,0,2.5,90,952,44,0,2.0,23282
Adam Webster,DEF,Brighton,10,2,0,0,1,0,3.6,90,884,43,1,3.0,22331
Adam Webster,DEF,Brighton,12,0,0,0,1,0,1.8,90,1115,43,1,3.0,23737
Adam Webster,DEF,Brighton,20,6,0,0,0,0,2.5,73,16,42,0,2.0,15425
Adam Webster,DEF,Brighton,25,1,0,0,0,0,3.5,45,390,42,0,2.0,16458
Adam Webster,DEF,Brighton,27,1,0,0,3,0,5.0,90,223,42,0,2.0,16713
Adam Webster,DEF,Brighton,36,8,0,0,0,0,2.5,90,343,42,1,3.0,15787
Adam Webster,DEF,Brighton,38,1,0,0,2,0,4.8,90,2847,42,1,3.0,36849
Adam Wharton,MID,Crystal Palace,23,2,0,0,3,0,1.4,62,256,50,0,2.0,260
Adam Wharton,MID,Crystal Palace,24,2,0,0,3,0,3.6,90,248,50,1,2.0,498
Adam Wharton,MID,Crystal Palace,25,3,0,0,1,0,6.6,87,217,50,0,2.0,673
Adam Wharton,MID,Crystal Palace,26,2,0,0,0,0,6.6,65,582,50,1,2.0,1316
Adam Wharton,MID,Crystal Palace,27,3,0,0,0,0,0.5,70,109,50,0,2.0,1087
Adam Wharton,MID,Crystal Palace,28,3,0,0,0,0,3.2,80,190,50,1,2.0,1194
Adam Wharton,MID,Crystal Palace,30,2,0,0,1,0,3.6,79,72,50,0,2.0,1138
Adam Wharton,MID,Crystal Palace,31,2,0,0,1,0,1.4,85,88,50,0,2.0,1183
Adam Wharton,MID,Crystal Palace,32,5,0,1,4,0,4.7,90,34,50,1,2.0,1131
Adam Wharton,MID,Crystal Palace,33,3,0,0,0,0,4.0,90,199,50,0,2.0,1282
Adam Wharton,MID,Crystal Palace,35,8,0,1,1,0,7.0,90,128,50,0,2.0,1740
Adam Wharton,MID,Crystal Palace,36,3,0,0,0,0,2.9,90,248,50,1,2.0,1913
Adam Wharton,MID,Crystal Palace,37,5,0,1,1,0,4.2,90,398,50,0,2.0,2122
Adam Wharton,MID,Crystal Palace,38,3,0,0,0,0,1.6,86,800,50,1,2.0,2883
Adama Traoré,MID,Fulham,31,1,0,0,1,0,3.3,57,231,49,0,2.0,4529
Adama Traoré,MID,Fulham,37,1,0,0,3,0,0.4,45,136,49,1,3.0,4011
Adama Traoré,MID,Fulham,38,10,1,1,2,0,9.7,78,187,49,0,2.0,4107
Albert Sambi Lokonga,MID,Luton,5,2,0,0,1,0,1.2,74,149,49,0,2.0,1987
Albert Sambi Lokonga,MID,Luton,6,1,0,0,1,0,1.7,56,374,49,1,2.0,2339
Albert Sambi Lokonga,MID,Luton,18,3,0,0,0,0,1.0,79,30,49,1,2.0,1637
Albert Sambi Lokonga,MID,Luton,19,6,0,1,2,0,5.8,90,199,49,0,2.0,1814
Albert Sambi Lokonga,MID,Luton,20,2,0,0,3,0,0.8,90,299,49,1,2.0,1990
Albert Sambi Lokonga,MID,Luton,21,2,0,0,1,0,3.7,85,215,49,0,2.0,2031
Albert Sambi Lokonga,MID,Luton,22,5,0,1,0,0,3.9,67,72,49,1,2.0,1980
Albert Sambi Lokonga,MID,Luton,23,1,0,0,4,0,4.1,90,373,49,0,2.0,2282
Albert Sambi Lokonga,MID,Luton,24,2,0,0,3,0,2.7,90,628,49,1,2.0,2730
Albert Sambi Lokonga,MID,Luton,34,2,0,0,4,0,1.0,70,34,49,1,2.0,2000
Albert Sambi Lokonga,MID,Luton,35,1,0,0,2,0,2.2,90,22,49,0,2.0,1982
Albert Sambi Lokonga,MID,Luton,36,6,0,1,1,0,5.6,90,32,49,1,2.0,2011
Albert Sambi Lokonga,MID,Luton,37,9,1,0,3,0,7.0,90,136,49,0,2.0,2138
Albert Sambi Lokonga,MID,Luton,38,1,0,0,4,0,1.7,90,1006,49,1,2.0,3206
Alejandro Garnacho,MID,Man Utd,1,3,0,0,0,0,1.5,67,0,50,1,4.0,221486
Alejandro Garnacho,MID,Man Utd,2,2,0,0,1,0,6.3,65,15286,50,0,3.0,232760
Alejandro Garnacho,MID,Man Utd,11,2,0,0,0,0,7.2,90,7343,47,0,3.0,122063
Alejandro Garnacho,MID,Man Utd,12,3,0,0,0,0,6.6,67,8335,47,1,4.0,123832
Alejandro Garnacho,MID,Man Utd,13,8,1,0,0,0,6.6,71,5720,47,0,3.0,122450
Alejandro Garnacho,MID,Man Utd,14,2,0,0,1,0,4.8,90,60770,47,0,3.0,183514
Alejandro Garnacho,MID,Man Utd,15,4,0,1,1,0,11.9,90,34008,47,1,4.0,210802
Alejandro Garnacho,MID,Man Utd,16,2,0,0,3,0,7.6,78,102194,48,1,4.0,310102
Alejandro Garnacho,MID,Man Utd,17,3,0,0,0,0,0.3,70,15874,48,0,3.0,279861
Alejandro Garnacho,MID,Man Utd,18,2,0,0,2,0,5.4,84,10313,48,0,3.0,267842
Alejandro Garnacho,MID,Man Utd,19,14,2,0,2,0,12.7,90,16008,47,1,4.0,266625
Alejandro Garnacho,MID,Man Utd,20,4,0,1,2,0,6.9,90,234923,48,0,3.0,499170
Alejandro Garnacho,MID,Man Utd,21,2,0,0,2,0,5.5,90,178818,48,1,4.0,591292
Alejandro Garnacho,MID,Man Utd,22,1,0,0,2,0,7.7,90,43829,48,0,3.0,573629
Alejandro Garnacho,MID,Man Utd,23,16,2,0,0,0,17.4,90,23546,48,1,4.0,548838
Alejandro Garnacho,MID,Man Utd,24,2,0,0,1,0,5.3,90,217589,49,0,3.0,748613
Alejandro Garnacho,MID,Man Utd,25,5,0,1,1,0,15.1,90,170333,49,0,3.0,890565
Alejandro Garnacho,MID,Man Utd,26,2,0,0,2,0,8.4,90,301676,50,1,4.0,1226299
Alejandro Garnacho,MID,Man Utd,27,2,0,0,2,0,1.1,81,28056,50,0,3.0,1054902
Alejandro Garnacho,MID,Man Utd,28,9,0,2,0,0,6.0,82,29400,50,1,4.0,1009757
Alejandro Garnacho,MID,Man Utd,30,1,0,0,0,0,0.8,58,158207,49,0,3.0,1064123
Alejandro Garnacho,MID,Man Utd,31,14,2,0,2,0,14.3,85,46060,49,0,3.0,1041148
Alejandro Garnacho,MID,Man Utd,32,2,0,0,1,0,3.8,79,80592,49,1,4.0,1089958
Alejandro Garnacho,MID,Man Utd,33,4,0,1,2,0,1.6,45,207505,50,0,3.0,1275720
Alejandro Garnacho,MID,Man Utd,34,5,0,1,2,0,17.7,90,62912,50,1,4.0,1154157
Alejandro Garnacho,MID,Man Utd,35,2,0,0,1,0,10.0,90,72173,50,1,4.0,1173962
Alejandro Garnacho,MID,Man Utd,36,2,0,0,4,0,2.3,90,50571,50,0,3.0,1150517
Alejandro Garnacho,MID,Man Utd,38,3,0,0,0,0,5.2,90,23508,50,0,3.0,1060738
Aleksandar Mitrović,FWD,Fulham,1,1,0,0,0,0,3.3,32,0,75,0,2.0,364552
Alex Iwobi,MID,Everton,1,2,0,0,1,0,10.6,90,0,55,1,2.0,75742
Alex Iwobi,MID,Everton,2,1,0,0,2,0,2.2,50,2583,55,0,2.0,74543
Alex Iwobi,MID,Fulham,7,1,0,0,0,0,3.4,36,582,54,1,3.0,28718
Alex Iwobi,MID,Fulham,8,2,0,0,1,0,3.8,78,1023,54,1,3.0,28757
Alex Iwobi,MID,Fulham,9,1,0,0,1,0,2.1,45,327,54,0,2.0,27816
Alex Iwobi,MID,Fulham,10,2,0,0,1,0,2.9,90,224,54,0,2.0,27055
Alex Iwobi,MID,Fulham,11,2,0,0,0,0,3.9,88,608,54,1,3.0,26892
Alex Iwobi,MID,Fulham,12,1,0,0,3,0,3.6,81,435,54,0,2.0,26522
Alex Iwobi,MID,Fulham,13,9,1,0,2,0,10.5,90,464,53,1,3.0,26487
Alex Iwobi,MID,Fulham,14,2,0,0,2,0,2.5,74,715,53,0,2.0,26863
Alex Iwobi,MID,Fulham,15,14,2,0,0,0,14.2,75,2011,53,1,3.0,28613
Alex Iwobi,MID,Fulham,16,6,0,1,0,0,8.1,78,26202,53,1,3.0,55425
Alex Iwobi,MID,Fulham,17,2,0,0,2,0,2.9,76,44249,53,0,2.0,98390
Alex Iwobi,MID,Fulham,18,2,0,0,2,0,8.9,90,40754,53,1,3.0,137133
Alex Iwobi,MID,Fulham,19,2,0,0,3,0,1.9,90,12811,53,0,2.0,128586
Alex Iwobi,MID,Fulham,20,2,0,0,1,0,4.1,71,2786,53,1,3.0,100680
Alex Iwobi,MID,Fulham,25,1,0,0,1,0,2.7,45,211,53,1,3.0,37610
Alex Iwobi,MID,Fulham,26,10,1,0,1,0,11.2,90,813,53,0,2.0,37532
Alex Iwobi,MID,Fulham,27,3,0,0,0,0,4.9,68,7188,53,1,3.0,44068
Alex Iwobi,MID,Fulham,28,10,1,0,2,0,19.3,90,3595,53,0,2.0,44785
Alex Iwobi,MID,Fulham,29,3,0,0,0,0,7.5,81,42449,53,1,3.0,217631
Alex Iwobi,MID,Fulham,30,2,0,0,3,0,4.9,73,13901,53,0,2.0,83692
Alex Iwobi,MID,Fulham,31,1,0,0,2,0,0.7,32,6261,53,0,2.0,79445
Alex Iwobi,MID,Fulham,32,2,0,0,1,0,4.2,90,1420,53,1,3.0,66072
Alex Iwobi,MID,Fulham,33,6,0,1,0,0,8.3,73,695,53,0,2.0,58840
Alex Iwobi,MID,Fulham,34,2,0,0,3,0,4.3,84,823,53,1,3.0,53482
Alex Iwobi,MID,Fulham,35,2,0,0,1,0,2.8,90,1596,53,1,3.0,52474
Alex Iwobi,MID,Fulham,36,3,0,0,0,0,9.8,90,918,53,0,2.0,50800
Alex Iwobi,MID,Fulham,37,2,0,0,4,0,1.1,90,1185,53,1,3.0,48595
Alex Iwobi,MID,Fulham,38,2,0,0,2,0,5.9,90,1333,53,0,2.0,48002
Alex Scott,MID,Bournemouth,9,0,0,0,1,0,0.0,56,68,49,1,2.0,659
Alex Scott,MID,Bournemouth,10,2,0,0,1,0,2.9,90,185,49,1,2.0,818
Alex Scott,MID,Bournemouth,11,1,0,0,3,0,1.4,43,263,49,0,2.0,1051
Alex Scott,MID,Bournemouth,18,0,0,0,1,0,1.6,41,37,49,0,2.0,708
Alex Scott,MID,Bournemouth,19,9,0,1,0,0,5.4,90,94,49,1,2.0,790
Alex Scott,MID,Bournemouth,21,1,0,0,3,0,1.0,35,1909,49,1,2.0,2975
Alex Scott,MID,Bournemouth,22,2,0,0,1,0,1.0,67,657,49,0,2.0,3227
Alex Scott,MID,Bournemouth,23,1,0,0,0,0,0.4,34,313,49,1,2.0,3306
Alex Scott,MID,Bournemouth,24,2,0,0,3,0,5.2,62,263,49,0,2.0,3061
Alex Scott,MID,Bournemouth,27,1,0,0,0,0,0.3,45,198,49,0,2.0,2764
Alex Scott,MID,Bournemouth,31,1,0,0,0,0,1.6,45,54,49,1,2.0,2548
Alex Scott,MID,Bournemouth,35,3,0,0,0,0,3.5,76,35,49,1,2.0,2163
Alex Scott,MID,Bournemouth,36,1,0,0,2,0,3.0,70,29,49,0,2.0,2145
Alexander Isak,FWD,Newcastle,1,13,2,0,1,0,13.2,67,0,75,1,4.0,1346330
Alexander Isak,FWD,Newcastle,2,2,0,0,1,0,0.4,65,508318,76,0,3.0,2258271
Alexander Isak,FWD,Newcastle,3,2,0,0,0,0,3.3,71,408228,77,1,4.0,2671221
Alexander Isak,FWD,Newcastle,4,2,0,0,3,0,2.4,73,215435,77,0,3.0,2773868
Alexander Isak,FWD,Newcastle,7,6,1,0,0,0,14.0,90,56101,76,1,4.0,2018967
Alexander Isak,FWD,Newcastle,8,13,2,0,1,0,14.6,85,141318,75,0,3.0,2069499
Alexander Isak,FWD,Newcastle,13,8,1,0,1,0,5.1,80,8104,74,1,4.0,1146296
Alexander Isak,FWD,Newcastle,14,2,0,0,0,0,4.3,90,365708,75,1,4.0,1523465
Alexander Isak,FWD,Newcastle,15,2,0,0,3,0,2.6,90,147857,75,0,3.0,1640166
Alexander Isak,FWD,Newcastle,16,2,0,0,3,0,0.8,63,60754,76,0,3.0,1644906
Alexander Isak,FWD,Newcastle,18,1,0,0,0,0,2.4,52,69601,76,0,3.0,1632497
Alexander Isak,FWD,Newcastle,19,7,1,0,3,0,19.3,90,36105,76,1,4.0,1566522
Alexander Isak,FWD,Newcastle,20,6,1,0,4,0,7.1,90,21644,76,0,3.0,1487341
Alexander Isak,FWD,Newcastle,21,6,1,0,3,0,11.4,90,125861,76,1,4.0,1544832
Alexander Isak,FWD,Newcastle,22,1,0,0,0,0,1.9,42,183708,76,0,3.0,1695301
Alexander Isak,FWD,Newcastle,26,2,0,0,2,0,0.8,63,3374,75,0,3.0,1168991
Alexander Isak,FWD,Newcastle,27,8,1,0,0,0,8.0,69,84452,75,1,4.0,1249436
Alexander Isak,FWD,Newcastle,28,6,1,0,3,0,6.4,90,38749,75,0,3.0,1258362
Alexander Isak,FWD,Newcastle,30,15,2,1,3,0,15.8,90,161651,76,1,4.0,1404120
Alexander Isak,FWD,Newcastle,31,8,1,0,1,0,12.4,90,651218,77,1,4.0,2051486
Alexander Isak,FWD,Newcastle,32,2,0,0,0,0,6.8,90,554373,79,0,3.0,2597890
Alexander Isak,FWD,Newcastle,33,12,2,0,0,0,13.9,90,121887,79,1,4.0,2613419
Alexander Isak,FWD,Newcastle,34,2,0,0,2,0,4.0,90,298522,80,0,3.0,2766906
Alexander Isak,FWD,Newcastle,35,13,2,0,1,0,16.3,90,888478,82,1,4.0,3721304
Alexander Isak,FWD,Newcastle,36,7,1,1,0,0,12.6,76,479054,83,0,3.0,4183973
Alexander Isak,FWD,Newcastle,38,14,1,2,2,0,13.7,80,56415,84,0,3.0,4444999
Alexandre Moreno Lopera,DEF,Aston Villa,17,10,1,0,1,0,11.1,90,9188,50,0,3.0,22649
Alexandre Moreno Lopera,DEF,Aston Villa,19,0,0,0,3,0,4.3,40,8375,50,0,3.0,69242
Alexandre Moreno Lopera,DEF,Aston Villa,20,1,0,0,2,0,4.5,90,63943,50,1,4.0,127059
Alexandre Moreno Lopera,DEF,Aston Villa,21,7,0,0,0,0,6.3,90,49966,50,0,3.0,149827
Alexandre Moreno Lopera,DEF,Aston Villa,22,-1,0,0,3,0,1.3,90,28748,51,1,4.0,165659
Alexandre Moreno Lopera,DEF,Aston Villa,23,14,1,0,0,0,7.4,90,10815,51,0,3.0,165654
Alexandre Moreno Lopera,DEF,Aston Villa,24,1,0,0,2,0,6.9,86,91564,51,1,4.0,246709
Alexandre Moreno Lopera,DEF,Aston Villa,25,1,0,0,1,0,0.2,80,53639,51,0,3.0,274996
Alexandre Moreno Lopera,DEF,Aston Villa,26,-1,0,0,2,0,2.3,58,146433,52,1,4.0,484847
Alexandre Moreno Lopera,DEF,Aston Villa,27,1,0,0,2,0,1.4,78,21663,52,0,3.0,392667
Alexandre Moreno Lopera,DEF,Aston Villa,28,0,0,0,2,0,0.3,32,11796,52,1,4.0,369025
Alexandre Moreno Lopera,DEF,Aston Villa,29,2,0,0,1,0,2.0,62,32086,52,0,3.0,509463
Alexandre Moreno Lopera,DEF,Aston Villa,30,6,0,0,0,0,0.7,62,7276,52,1,4.0,354710
Alexis Mac Allister,MID,Liverpool,1,1,0,0,1,0,2.7,90,0,60,0,4.0,993930
Alexis Mac Allister,MID,Liverpool,2,-2,0,0,1,0,1.6,57,45356,60,1,5.0,1022382
Alexis Mac Allister,MID,Liverpool,3,2,0,0,1,0,1.9,76,6672,60,0,4.0,607408
Alexis Mac Allister,MID,Liverpool,4,3,0,0,0,0,1.7,86,7783,60,1,5.0,536871
Alexis Mac Allister,MID,Liverpool,5,0,0,0,1,0,1.7,45,12267,60,0,4.0,488393
Alexis Mac Allister,MID,Liverpool,6,6,0,1,1,0,6.3,87,5849,59,1,5.0,430767
Alexis Mac Allister,MID,Liverpool,7,1,0,0,1,0,1.1,79,17154,59,0,4.0,425056
Alexis Mac Allister,MID,Liverpool,8,2,0,0,2,0,2.2,90,12021,59,0,4.0,410873
Alexis Mac Allister,MID,Liverpool,9,3,0,0,0,0,7.0,90,12320,59,1,5.0,401917
Alexis Mac Allister,MID,Liverpool,10,2,0,0,0,0,2.9,90,6071,59,1,5.0,384912
Alexis Mac Allister,MID,Liverpool,11,1,0,0,1,0,2.6,90,9529,58,0,4.0,374914
Alexis Mac Allister,MID,Liverpool,13,2,0,0,1,0,1.1,84,2082,58,0,4.0,316098
